Family	Min_TE_length	Max_TE_length	Counts	nb_of_insertion	nb_of_expressed_insertion	Most_expressed_insertion
FROGGER	285	3187	0	13	0	FROGGER_I_3R_RaGOO_1416675_1418639
BLOOD	267	6708	0	5	0	BLOOD_I_3R_RaGOO_1043809_1050517
TRANSPAC	244	4731	0	3	0	TRANSPAC_I_3R_RaGOO_26707140_26711871
DM1731	85	4565	3	7	2	DM1731_LTR_3L_RaGOO_24209333_24213898
G7_DM	82	1191	0	9	0	G7_DM_X_RaGOO_16783041_16783563
BLASTOPIA	115	5028	6	9	5	BLASTOPIA_LTR_3L_RaGOO_23460661_23465627
MDG3	81	3801	0	12	0	MDG3_I_X_RaGOO_19449814_19451303
Stalker2	136	7964	17	9	4	Stalker2_LTR_3R_RaGOO_12469233_12477197
PLACW_DM	927	927	0	1	0	PLACW_DM_3L_RaGOO_13917593_13918520
Gypsy7	144	8623	1	32	1	Gypsy7_I_3L_RaGOO_25724750_25729257
Chimpo	1165	4153	1	5	1	Chimpo_I_4_RaGOO_776018_780171
Helitron1_DM	563	563	0	1	0	Helitron1_DM_X_RaGOO_21992722_21993285
R2_DM	267	566	0	3	0	R2_DM_X_RaGOO_22026333_22026899
