Subclass	Superfamily	Family	Insertion	Count	Reads	mean_subcov
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21134034$21134290	29	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fe20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fca0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f7c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f880>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f820>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ffa0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff701c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70220>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fb80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fa60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fd00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fb20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fbe0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f760>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70100>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70160>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fc40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fa00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fdc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ff40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f8e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fe80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fee0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fd60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6fac0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f9a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff700a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f940>}	0.9799299568965517
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21136429$21136737	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70d60>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21137712$21137950	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21137951$21138671	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21139487$21140021	0	set()	0.0
LTR	Gypsy	IDEFIX_LTR	IDEFIX_LTR$2L_RaGOO$21148095$21148420	3	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff67ca0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff67d60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff4a280>}	1.0
DNA	CMC-Transib	Transib-N1_DM	Transib-N1_DM$2L_RaGOO$21149249$21149511	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21153218$21153380	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6bd00>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21153825$21154425	0	set()	0.0
LINE	CR1	DMCR1A	DMCR1A$2L_RaGOO$21159247$21160262	2	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6bdc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6be20>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21161866$21162487	11	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f160>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f100>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f280>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f220>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f0a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f1c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6bfa0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f340>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6bf40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f2e0>}	0.36539306104523495
LTR	Gypsy	Gypsy8_I	Gypsy8_I$2L_RaGOO$21162599$21162767	19	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff704c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff707c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70880>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70400>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff706a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff709a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff708e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70640>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70460>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff702e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70940>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70520>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70820>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff705e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70700>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70580>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff703a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70340>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70760>}	0.9633458646616543
LINE	CR1	DMCR1A	DMCR1A$2L_RaGOO$21165606$21166148	0	set()	0.0
LINE	I-Jockey	DOC	DOC$2L_RaGOO$21166314$21169119	0	set()	0.0
LTR	Gypsy	Gypsy12A_LTR	Gypsy12A_LTR$2L_RaGOO$21166430$21168148	0	set()	0.0
LINE	I-Jockey	G5A_DM	G5A_DM$2L_RaGOO$21168158$21168452	0	set()	0.0
LINE	I-Jockey	BS2	BS2$2L_RaGOO$21169144$21169920	0	set()	0.0
LTR	Gypsy	Invader4_LTR	Invader4_LTR$2L_RaGOO$21170848$21174076	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6be80>}	0.42688971499380424
LTR	Gypsy	Invader1_LTR	Invader1_LTR$2L_RaGOO$21174244$21174612	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21184367$21184739	104	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c8e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f520>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d760>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c0a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6cb80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c1c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6cc40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d220>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d820>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70be0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c340>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d1c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f460>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f700>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70c40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6bd60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c460>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f400>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6cbe0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70d00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d9a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6cee0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6dc40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c3a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70e80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f3a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c7c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f6a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d100>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d3a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70fa0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6cd00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d160>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6da00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c760>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c400>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70ac0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d520>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d7c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d8e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6da60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d280>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6dac0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c5e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d0a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c280>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f580>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d880>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70f40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d340>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d4c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d640>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6bee0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c940>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c2e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6bca0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ca00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c520>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70a00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d580>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70ee0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d460>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ce80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d400>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c4c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70e20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6dd00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70a60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f5e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c6a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ca60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6cf40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70ca0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d940>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6cb20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f4c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6db20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c100>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c820>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70280>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d6a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6dbe0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6cd60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70b80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6f640>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6cca0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6cdc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c220>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d700>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70dc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c160>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d5e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c9a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c580>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6cfa0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c640>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6cac0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6c700>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ce20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6d2e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6db80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff70b20>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21189259$21189621	4	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6dfa0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6dee0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6df40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6de80>}	0.9620165745856354
DNA	TcMar-Tc1	FB4_DM	FB4_DM$2L_RaGOO$21191049$21192691	3	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e280>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e220>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e1c0>}	1.0
DNA	TcMar-Tc1	FB4_DM	FB4_DM$2L_RaGOO$21192802$21194033	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21200484$21200870	11	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e340>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e160>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6bc40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6dd60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ddc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff58ca0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6de20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e2e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e100>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e0a0>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21203535$21203947	9	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e7c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e880>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e700>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e940>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e8e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e760>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e9a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ea00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e820>}	1.0
DNA	TcMar-Tc1	Mariner2_DM	Mariner2_DM$2L_RaGOO$21204105$21204659	2	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6edc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ee20>}	0.4629963898916968
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21205612$21205769	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21206859$21207416	2	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6efa0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ef40>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21208288$21208556	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21209804$21210297	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21210298$21210631	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21214967$21215276	0	set()	0.0
DNA	TcMar-Tc1	FB4_DM	FB4_DM$2L_RaGOO$21216448$21217847	0	set()	0.0
DNA	TcMar-Tc1	FB4_DM	FB4_DM$2L_RaGOO$21217851$21218563	0	set()	0.0
DNA	TcMar-Tc1	FB4_DM	FB4_DM$2L_RaGOO$21218827$21219546	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21219661$21220589	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21221345$21221761	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21223183$21223379	2	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ebe0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6eb80>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21226550$21227670	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6eb20>}	1.0
LTR	Gypsy	DM176_LTR	DM176_LTR$2L_RaGOO$21227096$21227265	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21229275$21229444	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ec40>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21229617$21229939	0	set()	0.0
DNA	P	PROTOP_B	PROTOP_B$2L_RaGOO$21237106$21237292	3	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e640>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e6a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6e5e0>}	1.0
DNA	P	PROTOP	PROTOP$2L_RaGOO$21237292$21237526	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21237676$21238180	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21240731$21241501	2	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ed00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff6ed60>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21240996$21241159	0	set()	0.0
LTR	Gypsy	DM297_LTR	DM297_LTR$2L_RaGOO$21241556$21249211	14	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff713a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff71220>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff71100>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff71460>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff71160>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff714c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff71040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff71340>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff71520>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff71280>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff71400>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff710a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff711c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95ff712e0>}	0.929392553886349
LTR	Gypsy	Gypsy12A_LTR	Gypsy12A_LTR$2L_RaGOO$21242356$21244976	0	set()	0.0
LTR	Gypsy	GTWIN_LTR	GTWIN_LTR$2L_RaGOO$21249700$21250020	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$21251166$21251359	0	set()	0.0
