Family	Min_TE_length	Max_TE_length	Counts	nb_of_insertion	nb_of_expressed_insertion	Most_expressed_insertion
HELENA_RT	105	1854	0	23	0	HELENA_RT_X_RaGOO_21570155_21571504
Invader3	113	7829	6	56	3	Invader3_I_2R_RaGOO_4009780_4011606
TRANSIB1	129	2157	0	18	0	TRANSIB1_3R_RaGOO_2699100_2700573
Invader4	102	8910	3	39	1	Invader4_LTR_4_RaGOO_899649_902725
TRANSIB2	164	4052	151	48	15	TRANSIB2_X_RaGOO_21989235_21992063
Invader2	128	7609	6	62	5	Invader2_I_3R_RaGOO_2202811_2209678
DMLTR5	120	7074	28	13	8	DMLTR5_X_RaGOO_1828728_1835798
STALKER4	106	11863	9	114	6	STALKER4_LTR_3L_RaGOO_23405298_23415957
DMRT1C	115	9656	1	68	1	DMRT1C_X_RaGOO_20495200_20495668
Chimpo	204	4571	2	16	1	Chimpo_LTR_3L_RaGOO_16584918_16588544
TIRANT	115	10225	71	28	7	TIRANT_LTR_2L_RaGOO_22323129_22326580
Copia1	202	4280	20	19	1	Copia1-I_DM_2R_RaGOO_2841061_2845341
Baggins1	121	10648	13	137	5	Baggins1_2R_RaGOO_2570496_2580847
G5A_DM	110	3179	70	74	4	G5A_DM_2R_RaGOO_4442347_4444566
Mariner2_DM	101	1108	61	48	8	Mariner2_DM_3L_RaGOO_22903450_22904558
BS3_DM	114	2183	9	52	3	BS3_DM_3R_RaGOO_1150409_1151578
DOC2_DM	111	8869	33	43	6	DOC2_DM_3R_RaGOO_3215468_3222090
PROTOP_A	105	1847	5	297	5	PROTOP_A_4_RaGOO_24706_25801
DOC3_DM	125	9472	23	106	3	DOC3_DM_3R_RaGOO_2983770_2986840
GTWIN	120	10863	2	75	2	GTWIN_LTR_X_RaGOO_21148680_21156063
DM412B_LTR	107	8866	5	20	3	DM412B_LTR_X_RaGOO_11799809_11807235
BEL	101	8015	27	32	11	BEL_LTR_3R_RaGOO_11276926_11283012
Gypsy5	111	11172	1	46	1	Gypsy5_LTR_3L_RaGOO_22847293_22850119
BATUMI	103	15405	15	56	6	BATUMI_LTR_3L_RaGOO_24966975_24975533
Gypsy4	114	12393	9	85	6	Gypsy4_I_3R_RaGOO_2581096_2590835
Gypsy9	105	8887	24	45	5	Gypsy9_LTR_3L_RaGOO_24678043_24682992
MAX	108	13374	40	70	8	MAX_LTR_3L_RaGOO_24378598_24386713
Invader6	111	7833	8	45	3	Invader6_I_3L_RaGOO_25623224_25628102
Gypsy12A_LTR	115	9469	59	93	8	Gypsy12A_LTR_3R_RaGOO_2983183_2987827
Copia2	167	4518	9	45	5	Copia2_I_3L_RaGOO_25902823_25904087
Gypsy1	120	10441	34	58	1	Gypsy1-I_DM_3L_RaGOO_24127725_24132950
BARI1	114	1563	5	9	1	BARI1_2L_RaGOO_21112657_21113769
CIRCE	123	7880	31	36	6	CIRCE_3R_RaGOO_3073861_3079193
Chouto	104	9537	22	49	4	Chouto_I_2L_RaGOO_21770014_21779551
NINJA	122	6158	10	46	5	NINJA_LTR_3R_RaGOO_615399_620854
Gypsy8	102	8878	8	209	6	Gypsy8_I_2R_RaGOO_2534282_2536641
Invader1	111	4868	5	100	3	Invader1_LTR_3L_RaGOO_25028557_25031534
DM176	102	12780	35	54	5	DM176_I_2R_RaGOO_196886_202183
Gypsy	102	12951	160	101	7	Gypsy_I_2R_RaGOO_2048940_2052346
DIVER2	105	7967	75	142	12	DIVER2_I_3L_RaGOO_25501168_25506583
G3_DM	111	8485	9	33	4	G3_DM_2L_RaGOO_21721006_21729491
TRANSIB4	156	1830	1	14	1	TRANSIB4_2R_RaGOO_4423372_4424755
Bica	109	6035	4	32	4	Bica_LTR_3R_RaGOO_2884824_2888297
Gypsy12	103	11394	97	72	7	Gypsy12_LTR_3R_RaGOO_842982_854376
FROGGER	102	4360	42	22	1	FROGGER_LTR_2R_RaGOO_3942161_3946521
Invader5	126	6420	1	20	1	Invader5_LTR_2L_RaGOO_22457804_22464224
TRANSIB3	125	5046	7	33	2	TRANSIB3_3R_RaGOO_2679434_2681620
Gypsy2	104	11000	15	141	9	Gypsy2-I_DM_2R_RaGOO_545702_556702
HMSBEAGLE_I	111	12457	4	76	1	HMSBEAGLE_I_X_RaGOO_20979244_20982827
Gypsy11	103	6280	1	36	1	Gypsy11_I_3L_RaGOO_23964102_23970382
Gypsy6	114	9867	4	68	3	Gypsy6_I_3R_RaGOO_2873847_2883714
DOC5_DM	126	9265	3	66	2	DOC5_DM_2R_RaGOO_15671_23006
DMTOM1	120	8006	2	20	2	DMTOM1_LTR_3L_RaGOO_25153928_25157456
DM1731	125	7685	43	28	4	DM1731_LTR_3L_RaGOO_24209333_24213898
LOOPER1_DM	116	2477	1	10	1	LOOPER1_DM_2R_RaGOO_3949985_3952462
Gypsy7	144	8623	2	48	2	Gypsy7_I_3R_RaGOO_2144633_2152892
FW3_DM	103	4486	32	37	3	FW3_DM_3L_RaGOO_25474540_25479026
R1-2_DM	264	3300	0	15	0	R1-2_DM_3R_RaGOO_2642047_2643224
Gypsy3	114	9346	1	29	1	Gypsy3_I_3L_RaGOO_25880992_25890338
Gypsy10	157	6909	517	35	5	Gypsy10_LTR_3R_RaGOO_760951_766941
TOM	105	12151	4	40	3	TOM_I_3R_RaGOO_767843_779994
ROOA	111	11278	4	54	4	ROOA_I_2R_RaGOO_3369128_3375460
MINOS	106	1543	0	15	0	MINOS_X_RaGOO_4591707_4591814
QUASIMODO2	125	6492	3	24	3	QUASIMODO2-I_DM_3R_RaGOO_777690_778919
ACCORD	113	7206	2	17	2	ACCORD_LTR_2R_RaGOO_10985734_10986218
ROVER	117	13831	5	43	5	ROVER-I_DM_X_RaGOO_21298736_21304020
BARI_DM	1232	1732	0	16	0	BARI_DM_3R_RaGOO_18377955_18379687
TABOR	107	7255	6	24	4	TABOR_I_3L_RaGOO_26463268_26469739
Stalker3_LTR	329	387	0	4	0	Stalker3_LTR_3L_RaGOO_26480807_26481192
Stalker2	125	7964	27	33	3	Stalker2_I_3L_RaGOO_23418557_23425113
TLD2	102	387	0	11	0	TLD2_3R_RaGOO_3465853_3466132
BS4_DM	103	750	1	3	1	BS4_DM_3R_RaGOO_4052534_4053284
G7_DM	212	1191	0	8	0	G7_DM_X_RaGOO_16783041_16783563
PLACW_DM	927	927	0	1	0	PLACW_DM_3L_RaGOO_13917593_13918520
Helitron1_DM	563	563	0	1	0	Helitron1_DM_X_RaGOO_21992722_21993285
R2_DM	267	566	0	3	0	R2_DM_X_RaGOO_22026333_22026899
