Family	Min_TE_length	Max_TE_length	Counts	nb_of_insertion	nb_of_expressed_insertion	Most_expressed_insertion
DOC	106	8479	7	90	7	DOC_X_RaGOO_9354900_9359597
MDG3	81	3801	0	12	0	MDG3_I_X_RaGOO_19449814_19451303
DMRT1B	81	10034	3	116	2	DMRT1B_3R_RaGOO_3489075_3498678
DMCR1A	83	8863	84	578	7	DMCR1A_2L_RaGOO_22244771_22248301
G2_DM	86	3757	0	29	0	G2_DM_X_RaGOO_22033014_22033863
NOF_FB	145	4730	0	8	0	NOF_FB_3R_RaGOO_20805074_20805219
DIVER	146	10026	0	7	0	DIVER_I_X_RaGOO_22034020_22035202
BS3_DM	87	2183	0	56	0	BS3_DM_X_RaGOO_21935688_21936234
Transib-N1_DM	82	868	0	47	0	Transib-N1_DM_X_RaGOO_21982034_21982520
DOC4_DM	111	5020	0	45	0	DOC4_DM_X_RaGOO_21962547_21963663
R1_DM	86	5365	3	44	2	R1_DM_X_RaGOO_21996524_22001556
TC1_DM	104	2687	1	54	1	TC1_DM_4_RaGOO_119749_120916
Gypsy6A_LTR	107	7605	0	56	0	Gypsy6A_LTR_X_RaGOO_21298523_21298735
PROTOP	81	8385	2	291	2	PROTOP_3L_RaGOO_26068646_26074787
G_DM	85	6499	0	43	0	G_DM_X_RaGOO_22027561_22029008
G6_DM	214	3511	0	20	0	G6_DM_X_RaGOO_22029501_22033012
G5_DM	98	4775	0	67	0	G5_DM_X_RaGOO_21991362_21991911
TC1-2_DM	97	1629	3	55	2	TC1-2_DM_2R_RaGOO_2258745_2260197
Transib5	106	5116	1	30	1	Transib5_3R_RaGOO_2639090_2641615
PROTOP_B	82	2140	5	346	1	PROTOP_B_4_RaGOO_175159_176280
Jockey2	84	3418	0	44	0	Jockey2_X_RaGOO_21960656_21961103
HELENA_RT	105	1854	0	23	0	HELENA_RT_X_RaGOO_21570155_21571504
Invader3	90	7829	0	32	0	Invader3_I_X_RaGOO_21501068_21502096
TRANSIB1	82	2157	0	19	0	TRANSIB1_3R_RaGOO_2699100_2700573
Invader4	102	3449	1	26	1	Invader4_LTR_2L_RaGOO_21089350_21091057
TRANSIB2	164	4052	1	48	1	TRANSIB2_3L_RaGOO_25693716_25697768
Invader2	98	6867	0	22	0	Invader2_I_3R_RaGOO_2539040_2541325
DMLTR5	90	7074	0	15	0	DMLTR5_X_RaGOO_6730302_6737331
STALKER4	82	10083	2	54	2	STALKER4_I_3L_RaGOO_23196825_23206571
DMRT1C	86	9656	0	76	0	DMRT1C_X_RaGOO_21562655_21564504
Chimpo	1165	4153	1	5	1	Chimpo_I_4_RaGOO_776018_780171
TIRANT	115	8202	1	10	1	TIRANT_I_2R_RaGOO_626164_626883
Copia1	202	202	0	2	0	Copia1-LTR_DM_X_RaGOO_21072663_21072865
Baggins1	121	10648	2	137	2	Baggins1_3L_RaGOO_24293575_24300805
G5A_DM	84	3179	0	76	0	G5A_DM_X_RaGOO_21990167_21991360
Mariner2_DM	101	1108	1	48	1	Mariner2_DM_4_RaGOO_638924_639677
DOC2_DM	92	8869	0	47	0	DOC2_DM_X_RaGOO_21227736_21230306
PROTOP_A	81	1847	0	310	0	PROTOP_A_X_RaGOO_21310570_21310675
DOC3_DM	85	9472	2	109	2	DOC3_DM_X_RaGOO_21994216_21996199
GTWIN	133	7383	1	19	1	GTWIN_LTR_X_RaGOO_21148680_21156063
DM412B_LTR	81	8866	1	21	1	DM412B_LTR_3R_RaGOO_21307972_21315446
BEL	101	6086	0	9	0	BEL_LTR_X_RaGOO_19596609_19599800
Gypsy5	146	8200	0	15	0	Gypsy5_LTR_X_RaGOO_21276237_21276399
BATUMI	85	15405	2	19	2	BATUMI_LTR_3R_RaGOO_1890606_1906011
Gypsy4	146	6778	0	18	0	Gypsy4_LTR_3R_RaGOO_3837002_3837297
Gypsy9	139	8887	0	12	0	Gypsy9_LTR_4_RaGOO_614187_614326
MAX	81	13374	9	23	2	MAX_LTR_3L_RaGOO_3640512_3649209
Invader6	111	7833	2	38	2	Invader6_I_3L_RaGOO_25628103_25632398
Gypsy12A_LTR	86	9469	12	99	7	Gypsy12A_LTR_3R_RaGOO_1864004_1865329
Copia2	332	3891	2	33	1	Copia2_I_2L_RaGOO_22718178_22722069
Gypsy1	92	10441	12	29	2	Gypsy1-I_DM_3L_RaGOO_24127725_24132950
BARI1	98	1563	0	10	0	BARI1_X_RaGOO_21428317_21429694
CIRCE	123	7880	0	36	0	CIRCE_X_RaGOO_22014034_22017447
Chouto	337	6938	0	14	0	Chouto_LTR_3R_RaGOO_4489408_4489923
NINJA	167	5455	0	16	0	NINJA_LTR_X_RaGOO_22013046_22013933
Gypsy8	82	8878	3	88	2	Gypsy8_LTR_3R_RaGOO_3489645_3494741
Invader1	131	1675	1	23	1	Invader1_I_3L_RaGOO_26375243_26376911
DM176	102	11487	1	20	1	DM176_I_2L_RaGOO_22492424_22494024
Gypsy	82	12951	2	64	1	Gypsy_LTR_2R_RaGOO_812580_825531
DIVER2	85	7967	0	124	0	DIVER2_I_X_RaGOO_21876066_21878259
G3_DM	111	8485	2	33	1	G3_DM_2L_RaGOO_21721006_21729491
TRANSIB4	156	1830	0	14	0	TRANSIB4_X_RaGOO_21378972_21379342
Bica	109	4262	0	17	0	Bica_I_3R_RaGOO_4042304_4046134
Gypsy12	88	8833	2	47	1	Gypsy12_I_3L_RaGOO_25952023_25957990
HMSBEAGLE_I	88	12457	0	78	0	HMSBEAGLE_I_X_RaGOO_21289318_21292566
FROGGER	285	3187	0	13	0	FROGGER_I_3R_RaGOO_1416675_1418639
Invader5	157	6420	0	11	0	Invader5_LTR_X_RaGOO_21988703_21989216
TRANSIB3	94	5046	16	35	3	TRANSIB3_X_RaGOO_21749054_21750759
Gypsy2	88	9080	0	33	0	Gypsy2_LTR_X_RaGOO_21160221_21163708
Gypsy11	156	5165	2	16	1	Gypsy11_LTR_2R_RaGOO_1478181_1482030
Gypsy6	92	9867	0	56	0	Gypsy6_I_X_RaGOO_21230310_21230989
DOC5_DM	126	9265	3	66	3	DOC5_DM_3L_RaGOO_25023332_25026768
DMTOM1	94	8006	8	21	1	DMTOM1_LTR_X_RaGOO_11258002_11258389
DM1731	85	4565	3	7	2	DM1731_LTR_3L_RaGOO_24209333_24213898
LOOPER1_DM	116	2477	0	10	0	LOOPER1_DM_X_RaGOO_21779812_21780142
Gypsy7	144	8623	1	32	1	Gypsy7_I_3L_RaGOO_25724750_25729257
FW3_DM	91	4486	0	40	0	FW3_DM_X_RaGOO_21281765_21282290
R1-2_DM	86	3300	0	16	0	R1-2_DM_3R_RaGOO_2642047_2643224
Gypsy3	114	420	0	11	0	Gypsy3_LTR_X_RaGOO_21245864_21246165
Gypsy10	205	6909	0	18	0	Gypsy10_LTR_3R_RaGOO_766942_767305
TOM	81	12151	0	43	0	TOM_I_X_RaGOO_20991625_20991894
ROOA	95	6861	0	16	0	ROOA_I_3R_RaGOO_2675958_2677274
MINOS	86	1543	0	16	0	MINOS_X_RaGOO_4591707_4591814
ACCORD	113	5570	1	7	1	ACCORD_I_2R_RaGOO_818637_823373
ROVER	117	5572	1	8	1	ROVER-I_DM_X_RaGOO_21298736_21304020
BARI_DM	1232	1732	1	16	1	BARI_DM_2R_RaGOO_42130_43850
TABOR	88	7255	0	20	0	TABOR_LTR_X_RaGOO_21974593_21974685
Stalker3_LTR	329	387	0	4	0	Stalker3_LTR_3L_RaGOO_26480807_26481192
Stalker2	136	7964	17	9	4	Stalker2_LTR_3R_RaGOO_12469233_12477197
TLD2	102	387	0	11	0	TLD2_3R_RaGOO_3465853_3466132
BS4_DM	103	750	0	3	0	BS4_DM_3R_RaGOO_4052534_4053284
G7_DM	82	1191	0	9	0	G7_DM_X_RaGOO_16783041_16783563
PLACW_DM	927	927	0	1	0	PLACW_DM_3L_RaGOO_13917593_13918520
Helitron1_DM	563	563	0	1	0	Helitron1_DM_X_RaGOO_21992722_21993285
R2_DM	267	566	0	3	0	R2_DM_X_RaGOO_22026333_22026899
