Subclass	Superfamily	Family	Insertion	Count	Reads	mean_subcov
DNA	TcMar-Pogo	POGO	POGO$2L_RaGOO$2955877$2958004	15	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f520>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f580>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f340>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f6a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f5e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f460>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f3a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f400>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f640>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f160>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f280>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f4c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f2e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f0a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f220>}	0.9842657890612756
LTR	Gypsy	DM412	DM412$2L_RaGOO$3096440$3096922	5	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f880>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f8e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f820>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f7c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f760>}	0.6821576763485477
LTR	Gypsy	DM412	DM412$2L_RaGOO$3096923$3097499	0	set()	0.0
LTR	Gypsy	DM412	DM412$2L_RaGOO$3097494$3103467	0	set()	0.0
LTR	Gypsy	DM412B_LTR	DM412B_LTR$2L_RaGOO$3103468$3103948	0	set()	0.0
LINE	I-Jockey	LINEJ1_DM	LINEJ1_DM$2L_RaGOO$3156645$3161540	0	set()	0.0
LTR	Gypsy	BLOOD_LTR	BLOOD_LTR$2L_RaGOO$3268611$3276063	6	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f700>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73fa60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73fa00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f9a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73fac0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f940>}	0.4750849883700125
LTR	Gypsy	NOMAD_LTR	NOMAD_LTR$2L_RaGOO$3400786$3408481	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73fb20>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$3421488$3421641	0	set()	0.0
LTR	Unknown	XDMR_DM	XDMR_DM$2L_RaGOO$3429048$3429222	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$3489552$3489953	3	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73fbe0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73fc40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73fb80>}	1.0
LTR	Unknown	XDMR_DM	XDMR_DM$2L_RaGOO$3594913$3595080	0	set()	0.0
LTR	Unknown	DMRP1	DMRP1$2L_RaGOO$3717520$3717689	0	set()	0.0
LTR	Unknown	DMRP1	DMRP1$2L_RaGOO$3879756$3879953	0	set()	0.0
LTR	Gypsy	ACCORD2_I	ACCORD2_I$2L_RaGOO$3969176$3969396	0	set()	0.0
LTR	Gypsy	MICROPIA_I	MICROPIA_I$2L_RaGOO$3970137$3974092	2	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73fd00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73fca0>}	0.3461441213653603
LTR	Gypsy	ACCORD2_I	ACCORD2_I$2L_RaGOO$3974129$3974349	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$4059121$4059356	0	set()	0.0
LINE	I-Jockey	FW2_DM	FW2_DM$2L_RaGOO$4177642$4182314	2	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73fdc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73fd60>}	1.0
LINE	I-Jockey	LINEJ1_DM	LINEJ1_DM$2L_RaGOO$4191513$4194179	0	set()	0.0
LTR	Gypsy	DM297_LTR	DM297_LTR$2L_RaGOO$4310346$4316635	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73fe80>}	1.0
LTR	Gypsy	BURDOCK_LTR	BURDOCK_LTR$2L_RaGOO$4499214$4501787	6	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f740100>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f740160>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7401c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f740040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73ffa0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7400a0>}	0.9015416504728592
DNA	TcMar-Tc1	S2_DM	S2_DM$2L_RaGOO$4991174$4991386	12	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f740520>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f740280>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7403a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f740460>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7404c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f740400>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7408e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f740580>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f740220>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7402e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f740340>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7407c0>}	1.0
LINE	I-Jockey	TART_B1	TART_B1$2L_RaGOO$5202514$5202688	0	set()	0.0
LTR	Pao	ROO_I	ROO_I$2L_RaGOO$5335297$5335488	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f740e20>}	1.0
LTR	Pao	ROO_I	ROO_I$2L_RaGOO$5336270$5336456	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$5719554$5721064	0	set()	0.0
