Family	Min_TE_length	Max_TE_length	Counts	nb_of_insertion	nb_of_expressed_insertion	Most_expressed_insertion
BURDOCK	110	9008	4	32	4	BURDOCK_LTR_3R_RaGOO_24036640_24040804
S2_DM	151	2392	0	27	0	S2_DM_X_RaGOO_21341507_21342141
TART_B1	104	6178	7	19	2	TART_B1_2R_RaGOO_23920095_23923160
S_DM	104	3166	6	143	6	S_DM_3R_RaGOO_4710881_4712605
POGON1	143	191	0	31	0	POGON1_X_RaGOO_18687224_18687414
FB4_DM	102	7578	3	197	3	FB4_DM_4_RaGOO_769101_769563
G4_DM	108	6021	0	53	0	G4_DM_X_RaGOO_21288081_21288389
DOC6_DM	140	4219	3	12	2	DOC6_DM_X_RaGOO_7744303_7748522
DMRT1A	104	8463	1	81	1	DMRT1A_X_RaGOO_20986542_20994365
DOC	106	8479	7	90	7	DOC_X_RaGOO_9354900_9359597
MDG3	106	6745	0	28	0	MDG3_I_X_RaGOO_19449814_19451303
DMRT1B	102	10034	3	115	2	DMRT1B_3R_RaGOO_3489075_3498678
DMCR1A	101	8863	84	565	7	DMCR1A_2L_RaGOO_22244771_22248301
NOF_FB	145	4730	0	8	0	NOF_FB_3R_RaGOO_20805074_20805219
DIVER	146	10026	0	15	0	DIVER_I_X_RaGOO_22034020_22035202
Transib-N1_DM	101	868	0	34	0	Transib-N1_DM_X_RaGOO_21982034_21982520
DOC4_DM	111	5020	0	45	0	DOC4_DM_X_RaGOO_21962547_21963663
R1_DM	104	5365	3	40	2	R1_DM_X_RaGOO_21996524_22001556
TC1_DM	104	2687	1	54	1	TC1_DM_4_RaGOO_119749_120916
Gypsy6A_LTR	107	7605	0	56	0	Gypsy6A_LTR_X_RaGOO_21298523_21298735
G2_DM	110	3757	0	27	0	G2_DM_X_RaGOO_22033014_22033863
PROTOP	107	8385	2	270	2	PROTOP_3L_RaGOO_26068646_26074787
G_DM	109	6499	0	42	0	G_DM_X_RaGOO_22027561_22029008
G6_DM	214	3511	0	20	0	G6_DM_X_RaGOO_22029501_22033012
G5_DM	104	4775	0	65	0	G5_DM_X_RaGOO_21991362_21991911
TC1-2_DM	139	1629	3	54	2	TC1-2_DM_2R_RaGOO_2258745_2260197
Transib5	106	5116	1	30	1	Transib5_3R_RaGOO_2639090_2641615
PROTOP_B	101	2140	5	328	1	PROTOP_B_4_RaGOO_175159_176280
Jockey2	104	3418	0	41	0	Jockey2_X_RaGOO_21960656_21961103
HELENA_RT	105	1854	0	23	0	HELENA_RT_X_RaGOO_21570155_21571504
Invader3	113	7829	0	56	0	Invader3_I_X_RaGOO_21501068_21502096
TRANSIB1	129	2157	0	18	0	TRANSIB1_3R_RaGOO_2699100_2700573
Invader4	102	8910	1	39	1	Invader4_LTR_2L_RaGOO_21089350_21091057
TRANSIB2	164	4052	1	48	1	TRANSIB2_3L_RaGOO_25693716_25697768
Invader2	128	7609	1	62	1	Invader2_LTR_2R_RaGOO_3203890_3211091
DMLTR5	120	7074	0	13	0	DMLTR5_X_RaGOO_6730302_6737331
STALKER4	106	11863	2	114	2	STALKER4_I_3L_RaGOO_23196825_23206571
DMRT1C	115	9656	0	68	0	DMRT1C_X_RaGOO_21562655_21564504
Chimpo	204	4571	3	16	3	Chimpo_I_4_RaGOO_776018_780171
TIRANT	115	10225	2	28	2	TIRANT_I_2R_RaGOO_626164_626883
Copia1	202	4280	1	19	1	Copia1-I_DM_2R_RaGOO_2841061_2845341
Baggins1	121	10648	2	137	2	Baggins1_3L_RaGOO_24293575_24300805
G5A_DM	110	3179	0	74	0	G5A_DM_X_RaGOO_21990167_21991360
Mariner2_DM	101	1108	1	48	1	Mariner2_DM_4_RaGOO_638924_639677
BS3_DM	114	2183	0	52	0	BS3_DM_X_RaGOO_21935688_21936234
DOC2_DM	111	8869	0	43	0	DOC2_DM_X_RaGOO_21227736_21230306
PROTOP_A	105	1847	0	297	0	PROTOP_A_X_RaGOO_21310570_21310675
DOC3_DM	125	9472	2	106	2	DOC3_DM_X_RaGOO_21994216_21996199
GTWIN	120	10863	2	75	2	GTWIN_LTR_X_RaGOO_21148680_21156063
DM412B_LTR	107	8866	1	20	1	DM412B_LTR_3R_RaGOO_21307972_21315446
BEL	101	8015	0	32	0	BEL_LTR_X_RaGOO_19596609_19599800
Gypsy5	111	11172	0	46	0	Gypsy5_LTR_X_RaGOO_21276237_21276399
BATUMI	103	15405	2	56	2	BATUMI_LTR_3R_RaGOO_1890606_1906011
Gypsy4	114	12393	1	85	1	Gypsy4_I_3R_RaGOO_888968_899072
Gypsy9	105	8887	0	45	0	Gypsy9_LTR_4_RaGOO_614187_614326
MAX	108	13374	11	70	3	MAX_LTR_3L_RaGOO_3640512_3649209
Invader6	111	7833	5	45	4	Invader6_LTR_3R_RaGOO_2712551_2717731
Gypsy12A_LTR	115	9469	12	93	7	Gypsy12A_LTR_3R_RaGOO_1864004_1865329
Copia2	167	4518	2	45	1	Copia2_I_2L_RaGOO_22718178_22722069
Gypsy1	120	10441	12	58	2	Gypsy1-I_DM_3L_RaGOO_24127725_24132950
BARI1	114	1563	0	9	0	BARI1_X_RaGOO_21428317_21429694
CIRCE	123	7880	0	36	0	CIRCE_X_RaGOO_22014034_22017447
Chouto	104	9537	19	49	1	Chouto_I_2L_RaGOO_21770014_21779551
NINJA	122	6158	0	46	0	NINJA_LTR_X_RaGOO_22013046_22013933
Gypsy8	102	8878	3	209	2	Gypsy8_LTR_3R_RaGOO_3489645_3494741
Invader1	111	4868	4	100	4	Invader1_I_3L_RaGOO_26375243_26376911
DM176	102	12780	4	54	4	DM176_I_2L_RaGOO_22492424_22494024
Gypsy	102	12951	11	101	4	Gypsy_I_3R_RaGOO_3387294_3394492
DIVER2	105	7967	0	142	0	DIVER2_I_X_RaGOO_21876066_21878259
G3_DM	111	8485	2	33	1	G3_DM_2L_RaGOO_21721006_21729491
TRANSIB4	156	1830	0	14	0	TRANSIB4_X_RaGOO_21378972_21379342
Bica	109	6035	0	32	0	Bica_I_3R_RaGOO_4042304_4046134
Gypsy12	103	11394	65	72	5	Gypsy12_LTR_3R_RaGOO_960900_963176
FROGGER	102	4360	0	22	0	FROGGER_I_3R_RaGOO_1416675_1418639
Invader5	126	6420	0	20	0	Invader5_LTR_X_RaGOO_21988703_21989216
TRANSIB3	125	5046	16	33	3	TRANSIB3_X_RaGOO_21749054_21750759
Gypsy2	104	11000	2	141	2	Gypsy2-I_DM_2R_RaGOO_1185019_1189865
HMSBEAGLE_I	111	12457	0	76	0	HMSBEAGLE_I_X_RaGOO_21289318_21292566
Gypsy11	103	6280	2	36	1	Gypsy11_LTR_2R_RaGOO_1478181_1482030
Gypsy6	114	9867	0	68	0	Gypsy6_I_X_RaGOO_21230310_21230989
DOC5_DM	126	9265	3	66	3	DOC5_DM_3L_RaGOO_25023332_25026768
DMTOM1	120	8006	8	20	1	DMTOM1_LTR_X_RaGOO_11258002_11258389
DM1731	125	7685	3	28	2	DM1731_LTR_3L_RaGOO_24209333_24213898
LOOPER1_DM	116	2477	0	10	0	LOOPER1_DM_X_RaGOO_21779812_21780142
Gypsy7	144	8623	1	48	1	Gypsy7_I_3L_RaGOO_25724750_25729257
FW3_DM	103	4486	0	37	0	FW3_DM_X_RaGOO_21281765_21282290
R1-2_DM	264	3300	0	15	0	R1-2_DM_3R_RaGOO_2642047_2643224
Gypsy3	114	9346	0	29	0	Gypsy3_LTR_X_RaGOO_21245864_21246165
Gypsy10	157	6909	1	35	1	Gypsy10_I_3R_RaGOO_3432216_3433731
TOM	105	12151	0	40	0	TOM_I_X_RaGOO_20991625_20991894
ROOA	111	11278	1	54	1	ROOA_LTR_3R_RaGOO_3224730_3231813
MINOS	106	1543	0	15	0	MINOS_X_RaGOO_4591707_4591814
QUASIMODO2	125	6492	1	24	1	QUASIMODO2-I_DM_3L_RaGOO_24183512_24185244
ACCORD	113	7206	3	17	3	ACCORD_I_2R_RaGOO_818637_823373
ROVER	117	13831	2	43	2	ROVER-I_DM_X_RaGOO_21298736_21304020
BARI_DM	1232	1732	1	16	1	BARI_DM_2R_RaGOO_42130_43850
TABOR	107	7255	1	24	1	TABOR_I_3R_RaGOO_1081451_1084994
Stalker3_LTR	329	387	0	4	0	Stalker3_LTR_3L_RaGOO_26480807_26481192
Stalker2	125	7964	19	33	6	Stalker2_LTR_3R_RaGOO_12469233_12477197
TLD2	102	387	0	11	0	TLD2_3R_RaGOO_3465853_3466132
BS4_DM	103	750	0	3	0	BS4_DM_3R_RaGOO_4052534_4053284
G7_DM	212	1191	0	8	0	G7_DM_X_RaGOO_16783041_16783563
PLACW_DM	927	927	0	1	0	PLACW_DM_3L_RaGOO_13917593_13918520
Helitron1_DM	563	563	0	1	0	Helitron1_DM_X_RaGOO_21992722_21993285
R2_DM	267	566	0	3	0	R2_DM_X_RaGOO_22026333_22026899
