Subclass	Superfamily	Family	nb_of_insertion	Min_TE_length	Max_TE_length	Female_Counts	Female_nb_of_expressed_insertion	Female_most_expressed_insertion	Male_Counts	Male_nb_of_expressed_insertion	Male_most_expressed_insertion
LTR	Pao	ROO_I	147	152	15804	86	24	ROO_I$3L_RaGOO$19597644$19598396	434	49	ROO_I$3L_RaGOO$19597644$19598396
LINE	I	I_DM	104	165	9321	3	3	I_DM$2L_RaGOO$8443816$8449159	4	4	I_DM$2L_RaGOO$8443816$8449159
LTR	Gypsy	IDEFIX_LTR	69	160	10299	3	3	IDEFIX_LTR$2L_RaGOO$22302016$22302377	4	2	IDEFIX_LTR$3L_RaGOO$20046597$20052802
LTR	Gypsy	IDEFIX_I	71	175	10844	1	1	IDEFIX_I$3L_RaGOO$23168345$23170287	16	6	IDEFIX_I$3L_RaGOO$26187834$26189813
LTR	Gypsy	BLOOD_LTR	11	198	11422	13	3	BLOOD_LTR$2L_RaGOO$2148055$2155527	0	0	BLOOD_LTR$2L_RaGOO$2148055$2155527
LTR	Gypsy	TRANSPAC_LTR	11	5189	5252	1	1	TRANSPAC_LTR$2L_RaGOO$8985200$8990448	105	10	TRANSPAC_LTR$3R_RaGOO$21217775$21223024
DNA	TcMar-Pogo	POGO	25	234	3578	224	17	POGO$X_RaGOO$21863530$21864880	34	7	POGO$2R_RaGOO$7201268$7202754
LTR	Gypsy	DM412	62	153	7967	11	5	DM412$3R_RaGOO$3388391$3389451	24	11	DM412$3L_RaGOO$23963667$23964101
LTR	Gypsy	DM412B_LTR	26	164	516	2	2	DM412B_LTR$2R_RaGOO$7347845$7348087	1	1	DM412B_LTR$X_RaGOO$11799809$11800288
LINE	I-Jockey	LINEJ1_DM	101	166	9494	5	3	LINEJ1_DM$2R_RaGOO$12357739$12358093	39	28	LINEJ1_DM$2R_RaGOO$14471638$14476659
LTR	Gypsy	NOMAD_LTR	13	2646	7696	1	1	NOMAD_LTR$3L_RaGOO$10268410$10275872	69	12	NOMAD_LTR$X_RaGOO$11398933$11406469
LTR	Unknown	XDMR_DM	26	154	328	0	0	XDMR_DM$2L_RaGOO$3429048$3429222	1	1	XDMR_DM$2L_RaGOO$3594913$3595080
LTR	Unknown	DMRP1	37	165	347	0	0	DMRP1$2L_RaGOO$3717520$3717689	14	3	DMRP1$2R_RaGOO$5274897$5275146
LTR	Gypsy	ACCORD2_I	50	164	14302	15	6	ACCORD2_I$4_RaGOO$315790$316010	14	8	ACCORD2_I$4_RaGOO$315790$316010
LTR	Gypsy	MICROPIA_I	92	160	8923	22	15	MICROPIA_I$X_RaGOO$19414245$19418152	86	20	MICROPIA_I$2R_RaGOO$1461404$1461582
LTR	Gypsy	DM297_LTR	52	163	9999	2	2	DM297_LTR$2R_RaGOO$941466$951464	15	7	DM297_LTR$2L_RaGOO$21817349$21821111
LTR	Gypsy	BURDOCK_LTR	13	2548	9009	6	4	BURDOCK_LTR$2L_RaGOO$4499214$4501787	66	10	BURDOCK_LTR$2L_RaGOO$4499214$4501787
DNA	TcMar-Tc1	S2_DM	27	152	2393	2	2	S2_DM$3L_RaGOO$25686506$25686667	13	5	S2_DM$2L_RaGOO$22291772$22294164
LINE	I-Jockey	TART_B1	12	152	6179	9	5	TART_B1$2R_RaGOO$23920095$23923160	308	8	TART_B1$2R_RaGOO$23920095$23923160
DNA	TcMar-Tc1	S_DM	135	153	3167	8	7	S_DM$2R_RaGOO$3387895$3389569	17	12	S_DM$3R_RaGOO$5884226$5884566
DNA	TcMar-Pogo	POGON1	30	156	192	1	1	POGON1$3R_RaGOO$12322706$12322889	1	1	POGON1$3R_RaGOO$23344845$23345036
DNA	TcMar-Tc1	FB4_DM	183	153	7579	21	8	FB4_DM$4_RaGOO$769101$769563	123	20	FB4_DM$2R_RaGOO$3378778$3380218
LINE	I-Jockey	G4_DM	50	156	6022	1	1	G4_DM$3R_RaGOO$1688171$1688910	82	12	G4_DM$3L_RaGOO$25501627$25504470
LINE	I-Jockey	DOC6_DM	11	176	4220	3	2	DOC6_DM$X_RaGOO$7744303$7748522	16	4	DOC6_DM$X_RaGOO$19194485$19198701
LINE	R1	DMRT1A	77	192	8464	0	0	DMRT1A$2L_RaGOO$9115049$9117321	36	6	DMRT1A$2R_RaGOO$3576382$3576798
LINE	I-Jockey	DOC	86	154	8480	0	0	DOC$2L_RaGOO$9310102$9314822	38	11	DOC$3L_RaGOO$24733562$24735608
LTR	Gypsy	MDG3_LTR	18	268	6746	0	0	MDG3_LTR$2L_RaGOO$9410285$9415840	9	6	MDG3_LTR$X_RaGOO$11132720$11138277
LINE	R1	DMRT1B	107	198	10035	2	2	DMRT1B$3L_RaGOO$25044693$25045376	42	5	DMRT1B$2R_RaGOO$4404275$4406331
LINE	I-Jockey	BS	49	188	7502	3	3	BS$3L_RaGOO$25664497$25665850	7	5	BS$3L_RaGOO$26184376$26186330
LTR	Pao	DIVER_LTR	8	247	6125	0	0	DIVER_LTR$2L_RaGOO$14805095$14811207	3	2	DIVER_LTR$3L_RaGOO$23629771$23635886
LINE	I-Jockey	DOC4_DM	41	169	5021	0	0	DOC4_DM$2L_RaGOO$16629887$16632082	7	4	DOC4_DM$2R_RaGOO$3363410$3363829
DNA	CMC-Transib	Transib-N1_DM	23	157	869	0	0	Transib-N1_DM$2L_RaGOO$17306477$17306833	2	1	Transib-N1_DM$3R_RaGOO$19326872$19327284
LINE	R1	R1_DM	36	159	5366	3	2	R1_DM$X_RaGOO$21996524$22001556	1	1	R1_DM$4_RaGOO$989658$990839
DNA	TcMar-Tc1	TC1_DM	49	181	2688	7	6	TC1_DM$2R_RaGOO$7002450$7002854	14	7	TC1_DM$3L_RaGOO$23910237$23910853
LTR	Gypsy	Gypsy6A_LTR	62	191	428	0	0	Gypsy6A_LTR$2L_RaGOO$18412957$18413236	1	1	Gypsy6A_LTR$2R_RaGOO$2192166$2192572
LINE	I-Jockey	G2_DM	22	282	3758	0	0	G2_DM$2L_RaGOO$19163702$19164329	4	3	G2_DM$2R_RaGOO$3025369$3027218
LINE	CR1	DMCR1A	534	152	8864	46	7	DMCR1A$2R_RaGOO$755292$755591	97	32	DMCR1A$2R_RaGOO$4562014$4569809
DNA	P	PROTOP	264	152	8386	27	13	PROTOP$3L_RaGOO$25379636$25380020	80	15	PROTOP$4_RaGOO$358464$360439
LINE	I-Jockey	G_DM	39	155	6500	0	0	G_DM$2L_RaGOO$19775335$19775827	52	5	G_DM$3L_RaGOO$22645435$22645864
LINE	I-Jockey	G6_DM	20	215	3512	0	0	G6_DM$2L_RaGOO$19775873$19776865	4	4	G6_DM$2L_RaGOO$20460743$20461401
LINE	I-Jockey	G5_DM	60	177	4776	1	1	G5_DM$3R_RaGOO$1239663$1240223	23	6	G5_DM$2L_RaGOO$21596609$21597402
DNA	TcMar-Tc1	TC1-2_DM	53	165	1630	23	7	TC1-2_DM$3R_RaGOO$14406801$14407077	17	6	TC1-2_DM$2R_RaGOO$4626630$4627924
DNA	CMC-Transib	Transib5	25	222	5117	1	1	Transib5$3R_RaGOO$2639090$2641615	14	2	Transib5$2R_RaGOO$1408809$1410193
DNA	P	PROTOP_B	264	152	2141	17	7	PROTOP_B$2L_RaGOO$22342065$22342964	17	11	PROTOP_B$2L_RaGOO$22342065$22342964
LINE	I-Jockey	Jockey2	38	191	3419	1	1	Jockey2$3L_RaGOO$26421968$26422158	131	7	Jockey2$X_RaGOO$21275337$21276483
LINE	I-Jockey	HELENA_RT	21	200	1855	1	1	HELENA_RT$2L_RaGOO$19824472$19825491	0	0	HELENA_RT$2L_RaGOO$19824472$19825491
LTR	Gypsy	Invader3_LTR	23	161	7472	0	0	Invader3_LTR$2L_RaGOO$19826007$19826339	2	2	Invader3_LTR$2R_RaGOO$1085221$1090662
LTR	Gypsy	Invader4_I	10	201	8911	0	0	Invader4_I$2L_RaGOO$19830616$19832818	0	0	Invader4_I$2L_RaGOO$19830616$19832818
DNA	CMC-Transib	TRANSIB2	48	165	4053	1	1	TRANSIB2$2L_RaGOO$19858315$19859649	139	17	TRANSIB2$2R_RaGOO$3421509$3423952
LTR	Gypsy	Invader3_I	30	154	7830	3	1	Invader3_I$3L_RaGOO$26074788$26078600	5	2	Invader3_I$2R_RaGOO$4009780$4011606
LTR	Gypsy	Invader2_LTR	41	174	7610	0	0	Invader2_LTR$2L_RaGOO$19838920$19839184	5	4	Invader2_LTR$2L_RaGOO$21812134$21815478
LTR	Gypsy	MDG1_I	50	158	12112	9	2	MDG1_I$2R_RaGOO$916381$928492	4	3	MDG1_I$3L_RaGOO$26187065$26193623
LTR	Gypsy	DMLTR5	24	191	300	0	0	DMLTR5$2L_RaGOO$20224644$20224880	31	13	DMLTR5$X_RaGOO$1835534$1835798
LTR	Gypsy	HMSBEAGLE_I	72	158	12458	29	4	HMSBEAGLE_I$3R_RaGOO$17435842$17436040	11	6	HMSBEAGLE_I$X_RaGOO$20979244$20982827
LTR	Gypsy	STALKER4_LTR	58	160	11864	2	1	STALKER4_LTR$2R_RaGOO$3528328$3528676	1	1	STALKER4_LTR$2R_RaGOO$1037038$1044050
LINE	R1	DMRT1C	62	154	9657	6	4	DMRT1C$2R_RaGOO$2166484$2176140	37	13	DMRT1C$X_RaGOO$20495695$20496590
LTR	Gypsy	Chimpo_LTR	11	205	4572	2	2	Chimpo_LTR$3L_RaGOO$16584918$16588544	3	2	Chimpo_LTR$3L_RaGOO$16584918$16588544
LTR	Gypsy	TIRANT_LTR	18	197	10226	1	1	TIRANT_LTR$2L_RaGOO$20669409$20674055	8	4	TIRANT_LTR$2L_RaGOO$20669409$20674055
LTR	Copia	Copia1-I_DM	17	246	4281	1	1	Copia1-I_DM$2R_RaGOO$2841061$2845341	19	2	Copia1-I_DM$2R_RaGOO$2841061$2845341
LINE	R1-LOA	Baggins1	133	153	10649	0	0	Baggins1$2L_RaGOO$20875239$20877357	7	4	Baggins1$X_RaGOO$21982566$21987672
LTR	Gypsy	Invader4_LTR	24	281	3450	2	2	Invader4_LTR$2L_RaGOO$21089350$21091057	4	1	Invader4_LTR$4_RaGOO$899649$902725
LINE	I-Jockey	G5A_DM	70	161	3180	6	5	G5A_DM$3L_RaGOO$23936317$23937361	156	12	G5A_DM$2R_RaGOO$4442347$4444566
DNA	TcMar-Tc1	Mariner2_DM	44	189	1109	2	2	Mariner2_DM$4_RaGOO$638924$639677	120	10	Mariner2_DM$2L_RaGOO$21507526$21508443
LINE	I-Jockey	BS3_DM	46	157	2184	0	0	BS3_DM$2L_RaGOO$20960143$20960633	19	6	BS3_DM$3R_RaGOO$1150409$1151578
DNA	P	PROTOP_A	289	155	1848	5	4	PROTOP_A$X_RaGOO$12424177$12424822	9	9	PROTOP_A$2R_RaGOO$4110855$4111825
LINE	I-Jockey	DOC3_DM	105	177	9473	3	3	DOC3_DM$2R_RaGOO$860527$861391	28	2	DOC3_DM$3R_RaGOO$2983770$2986840
LTR	Gypsy	GTWIN_I	57	171	10864	3	3	GTWIN_I$2R_RaGOO$1968284$1972181	19	2	GTWIN_I$2L_RaGOO$22512692$22513576
LTR	Pao	BEL_I	23	174	8016	0	0	BEL_I$2L_RaGOO$21054595$21061040	17	9	BEL_I$3L_RaGOO$26289408$26291999
LTR	Gypsy	Gypsy5_I	28	165	11173	1	1	Gypsy5_I$3L_RaGOO$22759439$22770611	1	1	Gypsy5_I$2R_RaGOO$2294982$2305848
LTR	Pao	BATUMI_I	37	188	13113	0	0	BATUMI_I$2L_RaGOO$21072560$21073336	6	4	BATUMI_I$2R_RaGOO$4346261$4346584
LTR	Gypsy	Gypsy4_I	64	163	12394	4	2	Gypsy4_I$3L_RaGOO$23829953$23830657	3	3	Gypsy4_I$3L_RaGOO$23066970$23068842
LTR	Pao	MAX_I	46	235	10181	0	0	MAX_I$2L_RaGOO$21088720$21091664	21	4	MAX_I$3L_RaGOO$23841988$23843081
LTR	Gypsy	Invader6_LTR	7	172	5286	3	3	Invader6_LTR$2L_RaGOO$21088956$21089341	2	2	Invader6_LTR$3L_RaGOO$25617938$25623223
LTR	Gypsy	Gypsy9_I	31	175	5862	0	0	Gypsy9_I$2L_RaGOO$21092160$21092400	55	9	Gypsy9_I$3R_RaGOO$1517838$1519040
LTR	Gypsy	Gypsy12A_LTR	100	155	4645	8	5	Gypsy12A_LTR$3R_RaGOO$1864004$1865329	38	10	Gypsy12A_LTR$3L_RaGOO$25020893$25022537
LTR	Copia	Copia2_LTR_DM	16	156	199	2	1	Copia2_LTR_DM$2L_RaGOO$21096200$21096398	0	0	Copia2_LTR_DM$2L_RaGOO$21096200$21096398
LTR	Gypsy	Gypsy1-LTR_DM	29	159	6917	0	0	Gypsy1-LTR_DM$2L_RaGOO$21103966$21104246	6	2	Gypsy1-LTR_DM$2R_RaGOO$464870$465149
DNA	TcMar-Tc1	BARI1	8	202	1564	0	0	BARI1$2L_RaGOO$21112657$21113769	9	2	BARI1$2L_RaGOO$21112657$21113769
LTR	Gypsy	CIRCE	34	159	7881	2	2	CIRCE$3R_RaGOO$2482567$2484943	22	3	CIRCE$3R_RaGOO$3073861$3079193
LTR	Gypsy	Chouto_I	33	175	9538	0	0	Chouto_I$2L_RaGOO$21123770$21123948	1	1	Chouto_I$3R_RaGOO$2003553$2009866
LTR	Pao	NINJA_I	28	158	6159	1	1	NINJA_I$2R_RaGOO$2183487$2183644	9	2	NINJA_I$2R_RaGOO$2183487$2183644
LTR	Gypsy	Gypsy8_I	115	154	7817	5	3	Gypsy8_I$2L_RaGOO$22294478$22294782	84	11	Gypsy8_I$2L_RaGOO$21162599$21162767
LTR	Gypsy	Invader1_LTR	73	158	4869	4	4	Invader1_LTR$2R_RaGOO$4667269$4671292	77	13	Invader1_LTR$2R_RaGOO$4696211$4697076
LTR	Gypsy	DM176_LTR	31	157	12781	3	3	DM176_LTR$2R_RaGOO$1374047$1381552	11	3	DM176_LTR$3L_RaGOO$20033243$20040251
LTR	Gypsy	GTWIN_LTR	18	190	7384	0	0	GTWIN_LTR$2L_RaGOO$21249700$21250020	0	0	GTWIN_LTR$2L_RaGOO$21249700$21250020
LTR	Copia	Copia1-LTR_DM	2	203	203	0	0	Copia1-LTR_DM$2L_RaGOO$21442180$21442382	0	0	Copia1-LTR_DM$2L_RaGOO$21442180$21442382
LTR	Gypsy	Invader6_I	32	158	7834	2	2	Invader6_I$3L_RaGOO$25623224$25628102	7	3	Invader6_I$3L_RaGOO$25623224$25628102
LTR	Pao	DIVER2_LTR	33	195	5669	1	1	DIVER2_LTR$2L_RaGOO$22562063$22562447	7	5	DIVER2_LTR$3R_RaGOO$2278224$2281355
LINE	I-Jockey	G3_DM	29	195	8486	2	2	G3_DM$2R_RaGOO$4046575$4047065	17	5	G3_DM$3L_RaGOO$24448303$24448772
DNA	CMC-Transib	TRANSIB4	14	157	1831	3	3	TRANSIB4$2R_RaGOO$3404993$3406786	3	3	TRANSIB4$2R_RaGOO$3404993$3406786
LTR	Gypsy	Bica_LTR	15	162	6036	0	0	Bica_LTR$2L_RaGOO$21731573$21736296	15	4	Bica_LTR$2R_RaGOO$3530447$3531703
LTR	Pao	DIVER2_I	92	159	7968	30	6	DIVER2_I$2R_RaGOO$4796553$4796987	307	18	DIVER2_I$3L_RaGOO$23524899$23525698
LTR	Gypsy	Invader1_I	20	238	1676	1	1	Invader1_I$3L_RaGOO$26375243$26376911	6	1	Invader1_I$3L_RaGOO$25032224$25032560
LTR	Gypsy	Invader2_I	20	202	6868	2	2	Invader2_I$2R_RaGOO$1485470$1490053	0	0	Invader2_I$2L_RaGOO$21769412$21769625
LTR	Gypsy	Gypsy12_LTR	32	240	11395	60	7	Gypsy12_LTR$3R_RaGOO$960900$963176	78	7	Gypsy12_LTR$3R_RaGOO$842982$854376
LTR	Gypsy	Gypsy4_LTR	17	178	6779	0	0	Gypsy4_LTR$2L_RaGOO$21791702$21792670	3	3	Gypsy4_LTR$2R_RaGOO$768642$773133
LTR	Gypsy	Gypsy12_I	48	161	6331	0	0	Gypsy12_I$2L_RaGOO$21803535$21804528	3	3	Gypsy12_I$2R_RaGOO$2533072$2533363
LTR	Copia	FROGGER_LTR	6	202	4361	0	0	FROGGER_LTR$2L_RaGOO$21825655$21828138	41	2	FROGGER_LTR$2R_RaGOO$3942161$3946521
LTR	Gypsy	Invader5_I	7	177	1824	0	0	Invader5_I$2L_RaGOO$21843825$21845567	0	0	Invader5_I$2L_RaGOO$21843825$21845567
DNA	CMC-Transib	TRANSIB3	31	189	5047	24	4	TRANSIB3$X_RaGOO$21749054$21750759	14	5	TRANSIB3$3R_RaGOO$2679434$2681620
LTR	Gypsy	Invader5_LTR	11	158	6421	0	0	Invader5_LTR$2L_RaGOO$21846950$21847107	0	0	Invader5_LTR$2L_RaGOO$21846950$21847107
LTR	Gypsy	Gypsy2-LTR_DM	30	214	9004	1	1	Gypsy2-LTR_DM$2R_RaGOO$5387589$5387898	134	9	Gypsy2-LTR_DM$2L_RaGOO$21927350$21927653
LTR	Gypsy	Gypsy8_LTR	72	152	8879	5	3	Gypsy8_LTR$3R_RaGOO$3489645$3494741	18	4	Gypsy8_LTR$3L_RaGOO$23527413$23527636
LTR	Gypsy	STALKER4_I	45	199	10084	2	2	STALKER4_I$2L_RaGOO$21913834$21920333	5	2	STALKER4_I$3L_RaGOO$25944955$25950885
LTR	Gypsy	Gypsy11_I	17	166	6281	0	0	Gypsy11_I$2L_RaGOO$21994040$21994857	3	1	Gypsy11_I$2R_RaGOO$2554114$2554422
LTR	Gypsy	Gypsy6_LTR	6	407	7743	0	0	Gypsy6_LTR$2L_RaGOO$21995590$21995999	0	0	Gypsy6_LTR$2L_RaGOO$21995590$21995999
DNA	CMC-Transib	TRANSIB1	14	207	2158	0	0	TRANSIB1$2L_RaGOO$22013134$22013340	0	0	TRANSIB1$2L_RaGOO$22013134$22013340
LINE	I-Jockey	DOC2_DM	39	184	8870	2	2	DOC2_DM$3R_RaGOO$2131520$2132939	19	4	DOC2_DM$3R_RaGOO$3645389$3646358
LINE	I-Jockey	DOC5_DM	62	202	9266	24	4	DOC5_DM$2R_RaGOO$372709$375491	3	2	DOC5_DM$3R_RaGOO$1124668$1125050
LTR	Pao	DIVER_I	5	258	10027	0	0	DIVER_I$2L_RaGOO$22056229$22066255	1	1	DIVER_I$2L_RaGOO$22056229$22066255
LTR	Copia	DM1731_I	22	156	7686	0	0	DM1731_I$2L_RaGOO$22091831$22093304	11	4	DM1731_I$2R_RaGOO$1683060$1683358
LTR	Gypsy	Gypsy6_I	66	153	9868	5	2	Gypsy6_I$2R_RaGOO$972110$979166	17	6	Gypsy6_I$2R_RaGOO$2808521$2809716
LTR	Gypsy	Gypsy7_LTR	16	167	5453	0	0	Gypsy7_LTR$2L_RaGOO$22131610$22131778	0	0	Gypsy7_LTR$2L_RaGOO$22131610$22131778
LINE	I-Jockey	FW3_DM	28	167	4487	0	0	FW3_DM$2L_RaGOO$22172047$22172411	45	6	FW3_DM$3L_RaGOO$25474540$25479026
LTR	Gypsy	Gypsy2_I	31	193	7144	4	1	Gypsy2_I$2R_RaGOO$621324$624651	1	1	Gypsy2_I$2R_RaGOO$2754731$2758370
LTR	Gypsy	Gypsy2_LTR	32	166	9081	1	1	Gypsy2_LTR$2R_RaGOO$7244$7594	19	5	Gypsy2_LTR$4_RaGOO$1140658$1140992
LINE	R1	R1-2_DM	15	265	3301	0	0	R1-2_DM$2L_RaGOO$22181120$22181573	27	1	R1-2_DM$3L_RaGOO$26336494$26337733
LTR	Copia	Copia_I	31	240	8723	1	1	Copia_I$2R_RaGOO$756938$757428	20	1	Copia_I$3R_RaGOO$1738736$1739720
LTR	Gypsy	BURDOCK_I	17	195	8539	0	0	BURDOCK_I$2L_RaGOO$22230388$22235886	1	1	BURDOCK_I$2R_RaGOO$1726260$1734798
LTR	Gypsy	Gypsy3_I	17	177	9347	0	0	Gypsy3_I$2L_RaGOO$22237807$22238181	0	0	Gypsy3_I$2L_RaGOO$22237807$22238181
LTR	Gypsy	Gypsy10_I	17	158	5510	0	0	Gypsy10_I$2L_RaGOO$22267491$22267731	496	3	Gypsy10_I$3R_RaGOO$761442$762629
LTR	Pao	NINJA_LTR	16	168	5456	0	0	NINJA_LTR$2L_RaGOO$22269378$22273568	8	3	NINJA_LTR$3R_RaGOO$615399$620854
LTR	Gypsy	TOM_I	46	152	12152	1	1	TOM_I$2R_RaGOO$1218042$1229877	2	2	TOM_I$2R_RaGOO$346313$347351
LTR	Gypsy	NOMAD_I	47	202	10513	0	0	NOMAD_I$2L_RaGOO$22315750$22316143	330	6	NOMAD_I$2R_RaGOO$383343$386109
LTR	Gypsy	TIRANT_I	8	313	8203	10	1	TIRANT_I$2R_RaGOO$626164$626883	0	0	TIRANT_I$2L_RaGOO$22320233$22323130
LTR	Pao	ROOA_LTR	38	204	11279	17	5	ROOA_LTR$X_RaGOO$20973574$20977609	19	10	ROOA_LTR$2R_RaGOO$5412892$5414103
LTR	Gypsy	Gypsy2-I_DM	37	157	11001	2	2	Gypsy2-I_DM$2R_RaGOO$1185019$1189865	7	2	Gypsy2-I_DM$2R_RaGOO$545702$556702
LTR	Gypsy	ACCORD2_LTR	24	177	13565	1	1	ACCORD2_LTR$3L_RaGOO$24099817$24111803	2	1	ACCORD2_LTR$2R_RaGOO$780158$781719
LTR	Gypsy	DM176_I	17	203	11488	1	1	DM176_I$2L_RaGOO$22492424$22494024	30	4	DM176_I$2R_RaGOO$196886$202183
LTR	Gypsy	QUASIMODO2-LTR_DM	14	357	6493	1	1	QUASIMODO2-LTR_DM$2R_RaGOO$16504666$16505164	1	1	QUASIMODO2-LTR_DM$4_RaGOO$13230$19659
LTR	Pao	ROOA_I	14	283	6862	0	0	ROOA_I$2L_RaGOO$22514950$22520026	1	1	ROOA_I$2R_RaGOO$3369128$3375460
LTR	Gypsy	MICROPIA_LTR	23	249	5689	0	0	MICROPIA_LTR$2L_RaGOO$22526174$22526676	7	2	MICROPIA_LTR$X_RaGOO$22005718$22006544
LTR	Copia	Copia2_I	42	333	4148	3	2	Copia2_I$2L_RaGOO$22718178$22722069	17	8	Copia2_I$2L_RaGOO$22533654$22535543
LTR	Gypsy	Gypsy_I	35	219	11042	1	1	Gypsy_I$3R_RaGOO$3134007$3139348	137	2	Gypsy_I$2R_RaGOO$2048940$2052346
LTR	Gypsy	QUASIMODO2-I_DM	9	468	6464	1	1	QUASIMODO2-I_DM$3L_RaGOO$24183512$24185244	1	1	QUASIMODO2-I_DM$3R_RaGOO$777690$778919
LTR	Gypsy	Gypsy_LTR	57	186	12952	0	0	Gypsy_LTR$2L_RaGOO$22614836$22615029	22	11	Gypsy_LTR$2R_RaGOO$3014728$3015826
LTR	Gypsy	ACCORD_LTR	10	436	7207	23	2	ACCORD_LTR$2R_RaGOO$10965448$10972654	41	4	ACCORD_LTR$2R_RaGOO$10965448$10972654
LTR	Gypsy	ZAM_LTR	9	292	5848	0	0	ZAM_LTR$2L_RaGOO$22664811$22665102	30	3	ZAM_LTR$3R_RaGOO$3216098$3221945
LTR	Pao	BEL_LTR	8	316	6087	0	0	BEL_LTR$2L_RaGOO$22687009$22692185	17	4	BEL_LTR$3R_RaGOO$11276926$11283012
LTR	Gypsy	ROVER-LTR_DM	35	156	13832	3	3	ROVER-LTR_DM$2R_RaGOO$3256225$3263561	2	2	ROVER-LTR_DM$2R_RaGOO$3256225$3263561
DNA	TcMar-Tc1	BARI_DM	16	1233	1733	1	1	BARI_DM$2R_RaGOO$42130$43850	0	0	BARI_DM$2R_RaGOO$39180$40412
LTR	Pao	MAX_LTR	22	181	13375	8	2	MAX_LTR$3L_RaGOO$3640512$3649209	24	9	MAX_LTR$3L_RaGOO$24378598$24386713
LTR	Gypsy	Bica_I	13	187	4263	5	1	Bica_I$3L_RaGOO$25379057$25379243	19	4	Bica_I$3R_RaGOO$2908031$2910391
LTR	Gypsy	Gypsy5_LTR	13	163	8201	1	1	Gypsy5_LTR$3L_RaGOO$25615494$25617937	2	2	Gypsy5_LTR$3L_RaGOO$22847293$22850119
LTR	Gypsy	ROVER-I_DM	6	1106	5573	1	1	ROVER-I_DM$X_RaGOO$21298736$21304020	1	1	ROVER-I_DM$3R_RaGOO$602392$603894
LTR	Gypsy	TABOR_I	13	182	6472	1	1	TABOR_I$3R_RaGOO$1081451$1084994	9	1	TABOR_I$2R_RaGOO$2811324$2817616
LTR	Gypsy	DMTOM1_LTR	21	154	399	25	2	DMTOM1_LTR$X_RaGOO$11258002$11258389	5	3	DMTOM1_LTR$X_RaGOO$11258002$11258389
LTR	Gypsy	Stalker3_LTR	4	330	388	0	0	Stalker3_LTR$2R_RaGOO$632069$632456	0	0	Stalker3_LTR$2R_RaGOO$632069$632456
LTR	Gypsy	ACCORD_I	6	171	5571	1	1	ACCORD_I$2R_RaGOO$818637$823373	0	0	ACCORD_I$2R_RaGOO$818637$823373
